87 0.185767  2.25034e-09 3.9712e-10 0.0847459 0.0001
88 0.186747  2.2563e-09 3.98171e-10 0.0849692 0.0001
89 0.187728  2.26225e-09 3.9922e-10 0.0851919 0.0001
90 0.188708  2.26818e-09 4.00267e-10 0.085414 0.0001
91 0.189688  2.27409e-09 4.0131e-10 0.0856356 0.0001
92 0.190668  2.27999e-09 4.02351e-10 0.0858566 0.0001
93 0.191648  2.28587e-09 4.03389e-10 0.086077 0.0001
94 0.192629  2.29174e-09 4.04425e-10 0.0862968 0.0001
95 0.193609  2.29759e-09 4.05458e-10 0.0865161 0.0001
96 0.194589  2.30343e-09 4.06488e-10 0.0867348 0.0001
97 0.195569  2.30926e-09 4.07516e-10 0.086953 0.0001
98 0.196549  2.31507e-09 4.08541e-10 0.0871706 0.0001
99 0.19753  2.32086e-09 4.09563e-10 0.0873877 0.0001
100 0.19851  2.32664e-09 4.10583e-10 0.0876043 0.0001
101 0.19949  2.3324e-09 4.11601e-10 0.0878203 0.0001
102 0.20047  2.33816e-09 4.12616e-10 0.0880358 0.0001
103 0.20145  2.34389e-09 4.13628e-10 0.0882507 0.0001
104 0.20243  2.34962e-09 4.14638e-10 0.0884652 0.0001
105 0.203411  2.35533e-09 4.15646e-10 0.0886791 0.0001
106 0.204391  2.36102e-09 4.16651e-10 0.0888925 0.0001
107 0.205371  2.3667e-09 4.17653e-10 0.0891054 0.0001
108 0.206351  2.37237e-09 4.18654e-10 0.0893178 0.0001
109 0.207331  2.37803e-09 4.19652e-10 0.0895297 0.0001
110 0.208312  2.38367e-09 4.20647e-10 0.0897411 0.0001
111 0.209292  2.38929e-09 4.2164e-10 0.0899519 0.0001
112 0.210272  2.39491e-09 4.22631e-10 0.0901623 0.0001
113 0.211252  2.40051e-09 4.2362e-10 0.0903722 0.0001
114 0.212232  2.4061e-09 4.24606e-10 0.0905817 0.0001
115 0.213213  2.41167e-09 4.2559e-10 0.0907906 0.0001
116 0.214193  2.41724e-09 4.26571e-10 0.090999 0.0001
117 0.215173  2.42279e-09 4.27551e-10 0.091207 0.0001
118 0.216153  2.42832e-09 4.28528e-10 0.0914145 0.0001
119 0.217133  2.43385e-09 4.29503e-10 0.0916216 0.0001
120 0.218114  2.43936e-09 4.30476e-10 0.0918281 0.0001
121 0.219094  2.44486e-09 4.31446e-10 0.0920342 0.0001
122 0.220074  2.45035e-09 4.32414e-10 0.0922399 0.0001
123 0.221054  2.45582e-09 4.33381e-10 0.0924451 0.0001
124 0.222034  2.46129e-09 4.34345e-10 0.0926498 0.0001
