# Particle 0, r = 1.00000 AU, Hd = 1.713804e-03 AU, sigma_dust = 3.330000e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
  0.00129977  4.94603226e-06
  0.00149974  4.60510011e-06
  0.00169970  4.24414372e-06
  0.00189967  3.87177369e-06
  0.00209963  3.49621975e-06
  0.00229959  3.12504558e-06
  0.00249956  2.76492188e-06
  0.00269952  2.42146531e-06
  0.00289949  2.09914536e-06
  0.00309945  1.80125687e-06
  0.00329942  1.52995150e-06
  0.00349938  1.28631861e-06
  0.00369935  1.07050405e-06
  0.00389931  8.81854543e-07
  0.00409928  7.19075468e-07
  0.00429924  5.80391261e-07
  0.00449921  4.63698972e-07
  0.00469917  3.66707909e-07
  0.00489914  2.87060407e-07
  0.00509910  2.22430937e-07
  0.00529907  1.70602724e-07
  0.00549903  1.29522616e-07
  0.00569900  9.73361427e-08
  0.00589896  7.24054955e-08
  0.00609892  5.33135748e-08
  0.00629889  3.88573299e-08
  0.00649885  2.80334779e-08
  0.00669882  2.00193458e-08
  0.00689878  1.41511476e-08
  0.00709875  9.90153012e-09
  0.00729871  6.85775305e-09
  0.00749868  4.70143295e-09
  0.00769864  3.19041757e-09
  0.00789861  2.14305681e-09
  0.00809857  1.42491421e-09
  0.00829854  9.37805175e-10
  0.00849850  6.10949634e-10
  0.00869847  3.93973553e-10
  0.00889843  2.51476614e-10
  0.00909840  1.58890165e-10
  0.00929836  9.93722911e-11
  0.00949833  6.15180366e-11
  0.00969829  3.76971489e-11
  0.00989826  2.28656431e-11

# Particle 5, r = 1.24525 AU, Hd = 2.060282e-03 AU, sigma_dust = 2.984123e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01030141  2.15337204e-11
 -0.01009330  3.55012917e-11
 -0.00988519  5.79346138e-11
 -0.00967708  9.35838598e-11
 -0.00946897  1.49634820e-10
 -0.00926087  2.36828113e-10
 -0.00905276  3.71024611e-10
 -0.00884465  5.75361846e-10
 -0.00863654  8.83178067e-10
 -0.00842843  1.34191302e-09
 -0.00822032  2.01822385e-09
 -0.00801221  3.00457589e-09
 -0.00780410  4.42757470e-09
 -0.00759599  6.45828925e-09
 -0.00738788  9.32476645e-09
 -0.00717977  1.33268439e-08
 -0.00697166  1.88532199e-08
 -0.00676355  2.64005291e-08
 -0.00655544  3.65938922e-08
 -0.00634733  5.02080616e-08
 -0.00613923  6.81878787e-08
 -0.00593112  9.16663168e-08
 -0.00572301  1.21977930e-07
 -0.00551490  1.60665123e-07
 -0.00530679  2.09474345e-07
 -0.00509868  2.70339151e-07
 -0.00489057  3.45347190e-07
 -0.00468246  4.36688528e-07
 -0.00447435  5.46583497e-07
 -0.00426624  6.77189356e-07
 -0.00405813  8.30486557e-07
 -0.00385002  1.00814724e-06
 -0.00364191  1.21139061e-06
 -0.00343380  1.44083189e-06
 -0.00322569  1.69633374e-06
 -0.00301759  1.97687024e-06
 -0.00280948  2.28041507e-06
 -0.00260137  2.60386531e-06
 -0.00239326  2.94301182e-06
 -0.00218515  3.29256512e-06
 -0.00197704  3.64624305e-06
 -0.00176893  3.99692254e-06
 -0.00156082  4.33685324e-06
 -0.00135271  4.65792611e-06
 -0.00114460  4.95198522e-06
 -0.00093649  5.21116664e-06
 -0.00072838  5.42824521e-06
 -0.00052027  5.59696808e-06
 -0.00031216  5.71235355e-06
 -0.00010405  5.77093527e-06
  0.00010405  5.77093527e-06
  0.00031216  5.71235355e-06
  0.00052027  5.59696808e-06
  0.00072838  5.42824521e-06
  0.00093649  5.21116664e-06
  0.00114460  4.95198522e-06
  0.00135271  4.65792611e-06
  0.00156082  4.33685324e-06
  0.00176893  3.99692254e-06
  0.00197704  3.64624305e-06
  0.00218515  3.29256512e-06
  0.00239326  2.94301182e-06
  0.00260137  2.60386531e-06
  0.00280948  2.28041507e-06
  0.00301759  1.97687024e-06
  0.00322569  1.69633374e-06
  0.00343380  1.44083189e-06
  0.00364191  1.21139061e-06
  0.00385002  1.00814724e-06
  0.00405813  8.30486557e-07
  0.00426624  6.77189356e-07
  0.00447435  5.46583497e-07
  0.00468246  4.36688528e-07
  0.00489057  3.45347190e-07
  0.00509868  2.70339151e-07
  0.00530679  2.09474345e-07
  0.00551490  1.60665123e-07
  0.00572301  1.21977930e-07
  0.00593112  9.16663168e-08
  0.00613923  6.81878787e-08
  0.00634733  5.02080616e-08
  0.00655544  3.65938922e-08
  0.00676355  2.64005291e-08
  0.00697166  1.88532199e-08
  0.00717977  1.33268439e-08
  0.00738788  9.32476645e-09
  0.00759599  6.45828925e-09
  0.00780410  4.42757470e-09
  0.00801221  3.00457589e-09
  0.00822032  2.01822385e-09
  0.00842843  1.34191302e-09
  0.00863654  8.83178067e-10
  0.00884465  5.75361846e-10
  0.00905276  3.71024611e-10
  0.00926087  2.36828113e-10
  0.00946897  1.49634820e-10
  0.00967708  9.35838598e-11
  0.00988519  5.79346138e-11
  0.01009330  3.55012917e-11
  0.01030141  2.15337204e-11

# Particle 6, r = 1.29429 AU, Hd = 2.097328e-03 AU, sigma_dust = 2.927034e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01048664  2.07486724e-11
 -0.01027479  3.42070324e-11
 -0.01006294  5.58225099e-11
 -0.00985109  9.01721026e-11
 -0.00963924  1.44179631e-10
 -0.00942739  2.28194145e-10
 -0.00921553  3.57498285e-10
 -0.00900368  5.54386061e-10
 -0.00879183  8.50980324e-10
 -0.00857998  1.29299132e-09
 -0.00836813  1.94464610e-09
 -0.00815628  2.89503902e-09
 -0.00794443  4.26616001e-09
 -0.00773257  6.22284145e-09
 -0.00752072  8.98481639e-09
 -0.00730887  1.28409913e-08
 -0.00709702  1.81658940e-08
 -0.00688517  2.54380534e-08
 -0.00667332  3.52598003e-08
 -0.00646147  4.83776422e-08
 -0.00624962  6.57019749e-08
 -0.00603776  8.83244670e-08
 -0.00582591  1.17531019e-07
 -0.00561406  1.54807806e-07
 -0.00540221  2.01837605e-07
 -0.00519036  2.60483482e-07
 -0.00497851  3.32756977e-07
 -0.00476666  4.20768313e-07
 -0.00455480  5.26656876e-07
 -0.00434295  6.52501278e-07
 -0.00413110  8.00209772e-07
 -0.00391925  9.71393538e-07
 -0.00370740  1.16722732e-06
