index,radius_AU,mass,size
116,1.264862e+00,0.000000e+00,0.000000e+00
117,1.264865e+00,0.000000e+00,0.000000e+00
118,1.264867e+00,0.000000e+00,0.000000e+00
119,1.264870e+00,0.000000e+00,0.000000e+00
120,1.264872e+00,0.000000e+00,0.000000e+00
121,1.264874e+00,0.000000e+00,0.000000e+00
122,1.264877e+00,0.000000e+00,0.000000e+00
123,1.264879e+00,0.000000e+00,0.000000e+00
124,1.264881e+00,0.000000e+00,0.000000e+00
125,1.264883e+00,0.000000e+00,0.000000e+00
126,1.264886e+00,0.000000e+00,0.000000e+00
127,1.264888e+00,0.000000e+00,0.000000e+00
128,1.264890e+00,0.000000e+00,0.000000e+00
129,1.264892e+00,0.000000e+00,0.000000e+00
130,1.264894e+00,0.000000e+00,0.000000e+00
131,1.264896e+00,0.000000e+00,0.000000e+00
132,1.264898e+00,0.000000e+00,0.000000e+00
133,1.264899e+00,0.000000e+00,0.000000e+00
134,1.264901e+00,0.000000e+00,0.000000e+00
135,1.264903e+00,0.000000e+00,0.000000e+00
136,1.264905e+00,0.000000e+00,0.000000e+00
137,1.264907e+00,0.000000e+00,0.000000e+00
138,1.264908e+00,0.000000e+00,0.000000e+00
139,1.264910e+00,0.000000e+00,0.000000e+00
140,1.264911e+00,0.000000e+00,0.000000e+00
141,1.264913e+00,0.000000e+00,0.000000e+00
142,1.264915e+00,0.000000e+00,0.000000e+00
143,1.264916e+00,0.000000e+00,0.000000e+00
144,1.265224e+00,0.000000e+00,0.000000e+00
145,1.264919e+00,0.000000e+00,0.000000e+00
146,1.264921e+00,0.000000e+00,0.000000e+00
147,1.264922e+00,0.000000e+00,0.000000e+00
148,1.264923e+00,0.000000e+00,0.000000e+00
149,1.264925e+00,0.000000e+00,0.000000e+00
150,1.264926e+00,0.000000e+00,0.000000e+00
151,1.264928e+00,0.000000e+00,0.000000e+00
152,1.264929e+00,0.000000e+00,0.000000e+00
153,1.264930e+00,0.000000e+00,0.000000e+00
154,1.265203e+00,0.000000e+00,0.000000e+00
155,1.264933e+00,0.000000e+00,0.000000e+00
156,1.264934e+00,0.000000e+00,0.000000e+00
157,1.264935e+00,0.000000e+00,0.000000e+00
158,1.264936e+00,0.000000e+00,0.000000e+00
159,1.264937e+00,0.000000e+00,0.000000e+00
160,1.264939e+00,0.000000e+00,0.000000e+00
161,1.264940e+00,0.000000e+00,0.000000e+00
162,1.264941e+00,0.000000e+00,0.000000e+00
163,1.264942e+00,0.000000e+00,0.000000e+00
164,1.264943e+00,0.000000e+00,0.000000e+00
165,1.264944e+00,0.000000e+00,0.000000e+00
166,1.264945e+00,0.000000e+00,0.000000e+00
167,1.264946e+00,0.000000e+00,0.000000e+00
168,1.264947e+00,0.000000e+00,0.000000e+00
169,1.264948e+00,0.000000e+00,0.000000e+00
170,1.264949e+00,0.000000e+00,0.000000e+00
171,1.264950e+00,0.000000e+00,0.000000e+00
172,1.264951e+00,0.000000e+00,0.000000e+00
173,1.264952e+00,0.000000e+00,0.000000e+00
174,1.264953e+00,0.000000e+00,0.000000e+00
175,1.264954e+00,0.000000e+00,0.000000e+00
176,1.264954e+00,0.000000e+00,0.000000e+00
177,1.264955e+00,0.000000e+00,0.000000e+00
178,1.264956e+00,0.000000e+00,0.000000e+00
179,1.264957e+00,0.000000e+00,0.000000e+00
180,1.264958e+00,0.000000e+00,0.000000e+00
181,1.264959e+00,0.000000e+00,0.000000e+00
182,1.264959e+00,0.000000e+00,0.000000e+00
183,1.264960e+00,0.000000e+00,0.000000e+00
184,1.264961e+00,0.000000e+00,0.000000e+00
185,1.264962e+00,0.000000e+00,0.000000e+00
186,1.264963e+00,0.000000e+00,0.000000e+00
187,1.264963e+00,0.000000e+00,0.000000e+00
188,1.264964e+00,0.000000e+00,0.000000e+00
189,1.264965e+00,0.000000e+00,0.000000e+00
190,1.264966e+00,0.000000e+00,0.000000e+00
191,1.264966e+00,0.000000e+00,0.000000e+00
192,1.264967e+00,0.000000e+00,0.000000e+00
193,1.264968e+00,0.000000e+00,0.000000e+00
194,1.264968e+00,0.000000e+00,0.000000e+00
195,1.264969e+00,0.000000e+00,0.000000e+00
196,1.264970e+00,0.000000e+00,0.000000e+00
197,1.264970e+00,0.000000e+00,0.000000e+00
198,1.264971e+00,0.000000e+00,0.000000e+00
199,1.264972e+00,0.000000e+00,0.000000e+00
200,1.264972e+00,0.000000e+00,0.000000e+00
201,1.264973e+00,0.000000e+00,0.000000e+00
202,1.264973e+00,0.000000e+00,0.000000e+00
203,1.264974e+00,0.000000e+00,0.000000e+00
204,1.264975e+00,0.000000e+00,0.000000e+00
205,1.264975e+00,0.000000e+00,0.000000e+00
206,1.264976e+00,0.000000e+00,0.000000e+00
207,1.264976e+00,0.000000e+00,0.000000e+00
208,1.264977e+00,0.000000e+00,0.000000e+00
209,1.264977e+00,0.000000e+00,0.000000e+00
210,1.264978e+00,0.000000e+00,0.000000e+00
211,1.264979e+00,0.000000e+00,0.000000e+00
212,1.264979e+00,0.000000e+00,0.000000e+00
213,1.264980e+00,0.000000e+00,0.000000e+00
214,1.264980e+00,0.000000e+00,0.000000e+00
215,1.264981e+00,0.000000e+00,0.000000e+00
216,1.264981e+00,0.000000e+00,0.000000e+00
217,1.264982e+00,0.000000e+00,0.000000e+00
218,1.264982e+00,0.000000e+00,0.000000e+00
219,1.264983e+00,0.000000e+00,0.000000e+00
220,1.264983e+00,0.000000e+00,0.000000e+00
221,1.264984e+00,0.000000e+00,0.000000e+00
222,1.264984e+00,0.000000e+00,0.000000e+00
